Area_code,Area_name,Pop_Mid_2020,Area_(sq_km),2020_people_per_sq_km,Income_deprivation_score_2019,GDP_2019,median_earnings_2020,median_house_price_2020 
E06000021,Stoke-on-Trent,"256,622",93,"2,746",0.19,"26,788","28,147","120,000"
E07000221,Stratford-on-Avon,"132,402",978,135,0.068,"44,151","30,798","305,000"
E08000024,Sunderland,"277,846",137,"2,022",0.192,"29,019","28,486","120,000"
E07000214,Surrey Heath,"89,204",95,938,0.054,"44,238","38,985","425,000"
E09000029,Sutton,"207,707",44,"4,737",0.095,"25,041","35,042","402,500"
E07000113,Swale,"151,015",373,404,0.149,"23,144","26,821","245,000"
E06000030,Swindon,"222,881",230,969,0.109,"46,868","31,680","218,000"
E08000008,Tameside,"227,117",103,"2,202",0.175,"18,738","24,148","150,000"
E07000199,Tamworth,"76,864",31,"2,491",0.126,"25,309","24,855","195,125"
E07000215,Tandridge,"88,542",248,357,0.063,"26,458","31,558","442,250"
E07000045,Teignbridge,"135,039",674,200,0.101,"22,044","24,512","250,000"
E06000020,Telford and Wrekin,"181,322",290,625,0.156,"29,046","30,244","165,000"
E07000076,Tendring,"147,353",336,438,0.173,"16,549","28,222","225,000"
E07000093,Test Valley,"127,163",628,203,0.066,"31,497","31,753","310,000"
E07000083,Tewkesbury,"96,624",414,233,0.077,"37,068","33,426","255,000"
E07000114,Thanet,"141,458",104,"1,365",0.185,"18,833","24,444","245,000"
E07000102,Three Rivers,"93,966",89,"1,058",0.071,"52,171","29,982","490,000"
E06000034,Thurrock,"175,531",164,"1,071",0.13,"28,724","30,801","290,000"
E07000115,Tonbridge and Malling,"132,571",240,552,0.08,"40,097","29,687","350,000"
E06000027,Torbay,"136,218",63,"2,166",0.174,"17,671","28,107","200,000"
E07000046,Torridge,"68,719",984,70,0.121,"17,493","24,707","225,000"
E09000030,Tower Hamlets,"331,969",20,"16,791",0.192,"110,663","50,929","458,000"
E08000009,Trafford,"237,579",106,"2,240",0.107,"43,106","29,845","290,000"
E07000077,Uttlesford,"92,759",641,145,0.054,"30,187","32,533","385,000"
E07000180,Vale of White Horse,"137,910",578,239,0.057,"34,758","38,604","330,500"
E08000036,Wakefield,"351,592",339,"1,038",0.147,"26,585","28,008","147,000"
E08000030,Walsall,"286,716",104,"2,758",0.2,"19,543","28,571","160,000"
E09000031,Waltham Forest,"276,940",39,"7,136",0.152,"19,360","34,817","465,000"
E06000007,Warrington,"209,397",181,"1,159",0.109,"41,327","31,094","189,000"
E07000222,Warwick,"144,909",283,512,0.07,"50,832","33,826","295,000"
E07000103,Watford,"96,623",21,"4,509",0.092,"59,794","33,662","379,000"
E07000216,Waverley,"126,556",345,367,0.054,"29,662","28,802","479,950"
E07000065,Wealden,"162,733",833,195,0.073,"19,984","28,093","320,000"
E07000156,Wellingborough,,,,,,,
E07000241,Welwyn Hatfield,"123,893",130,956,0.086,"45,930","36,936","389,250"
E06000037,West Berkshire,"158,465",704,225,0.064,"56,409","36,068","340,000"
E07000047,West Devon,"56,139","1,160",48,0.098,"17,631","29,244","245,000"
E07000127,West Lancashire,"114,496",347,330,0.123,"25,890","29,757","178,000"
E07000142,West Lindsey,"96,186","1,156",83,0.123,"20,257","29,295","180,000"
E07000181,West Oxfordshire,"111,758",714,156,0.059,"27,698","31,905","328,000"
E07000245,West Suffolk,"177,302","1,035",171,0.081,"34,953","28,604","243,500"
E09000033,Westminster,"269,848",21,"12,561",0.135,"284,899","46,010","900,000"
E08000010,Wigan,"330,712",188,"1,758",0.148,"19,020","26,189","136,200"
E06000054,Wiltshire,"504,070","3,255",155,0.078,"26,727","29,078","265,000"
E07000094,Winchester,"125,925",661,191,0.058,"48,820","34,194","420,000"
E06000040,Windsor and Maidenhead,"151,273",197,770,0.058,"54,856","34,641","498,500"
E08000015,Wirral,"324,336",161,"2,015",0.174,"19,022","26,658","167,500"
E06000041,Wokingham,"173,945",179,972,0.044,"49,108","38,156","410,000"
E08000031,Wolverhampton,"264,407",69,"3,808",0.211,"22,447","28,315","157,000"
E07000237,Worcester,"100,265",33,"3,013",0.117,"34,065","27,801","208,000"
E07000229,Worthing,"110,727",33,"3,405",0.101,"39,693","30,918","300,000"
E07000238,Wychavon,"131,084",664,198,0.085,"27,518","28,161","265,000"
E07000128,Wyre,"113,067",282,401,0.125,"19,252","26,136","155,000"
E07000239,Wyre Forest,"101,139",195,518,0.127,"18,490","26,535","190,000"
E06000014,York,"211,012",272,776,0.072,"33,360","30,725","245,000"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,0.121,"21,852","26,779","152,500"
,,,,,0.123,"33,313","33,304","363,000"
,,,,,0.084,"22,482","29,300","215,000"
,,,,,0.079,"32,750","26,964","375,000"
,,,,,0.095,"39,533","37,359","314,250"
,,,,,0.07,"25,994","26,981","292,000"
,,,,,0.162,"19,205","26,531","172,000"
,,,,,0.141,"22,066","29,751","247,000"
,,,,,0.185,"36,257","30,992","141,850"
,,,,,0.067,"30,452","26,266","235,000"
,,,,,0.062,"31,697","28,958","280,000"
,,,,,0.228,"18,406","27,992","125,000"
,,,,,0.129,"71,685","37,422","430,000"
,,,,,0.029,"31,599",:,"297,500"
,,,,,0.129,"23,040","29,218","157,500"
,,,,,0.099,"22,299","27,838","317,000"
,,,,,0.072,"26,505","24,205","207,500"
,,,,,0.109,"24,702","25,607","174,000"
,,,,,0.169,"22,524","33,384","385,000"
,,,,,0.133,"29,580","30,425","143,000"
,,,,,0.162,"34,799","26,938","135,000"
,,,,,0.121,"19,957","32,528","435,000"
,,,,,0.113,"17,231","24,306","310,000"
,,,,,0.104,"24,896","28,962","227,500"
,,,,,0.206,"15,876","27,049","130,000"
,,,,,0.122,"34,899","35,319","275,250"
,,,,,0.078,"27,240","31,454","267,750"
,,,,,0.073,"33,599","29,386","382,750"
,,,,,0.107,"27,555","35,549","650,000"
,,,,,0.067,"37,107","39,325","400,000"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
