Total owed a prevention or relief duty,2020_people_per_sq_km,Income_deprivation_score_2019,GDP_2019,median_earnings_2020,median_house_price_2020 ,white,Black / African / Caribbean / Black British: African,Asian/Asian_Britian,Mixed / Multiple ethnic groups,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired
352.000000 ,105.000000 ,0.116000 ,30305.000000 ,29262.000000 ,132000.000000 ,0.970000 ,0.000000 ,0.010000 ,0.010000 ,0.164800 ,0.093800 ,0.005700 ,0.343800 ,0.022700 ,0.045500 ,0.224400 ,0.042600 
232.000000 ,2026.000000 ,0.107000 ,14505.000000 ,27083.000000 ,302250.000000 ,0.920000 ,0.020000 ,0.000000 ,0.000000 ,0.064700 ,0.116400 ,0.004300 ,0.211200 ,0.025900 ,0.241400 ,0.228400 ,0.051700 
1150.000000 ,411.000000 ,0.077000 ,25242.000000 ,30625.000000 ,295000.000000 ,0.840000 ,0.070000 ,0.020000 ,0.050000 ,0.213000 ,0.115700 ,0.016500 ,0.341700 ,0.038300 ,0.067000 ,0.150400 ,0.020900 
799.000000 ,530.000000 ,0.077000 ,32346.000000 ,32680.000000 ,343250.000000 ,0.690000 ,0.040000 ,0.010000 ,0.010000 ,0.148900 ,0.135200 ,0.011300 ,0.332900 ,0.073800 ,0.088900 ,0.117600 ,0.018800 
518.000000 ,2490.000000 ,0.091000 ,33143.000000 ,29926.000000 ,266000.000000 ,0.890000 ,0.020000 ,0.030000 ,0.010000 ,0.125500 ,0.086900 ,0.007700 ,0.453700 ,0.042500 ,0.042500 ,0.162200 ,0.019300 
313.000000 ,258.000000 ,0.076000 ,37031.000000 ,32259.000000 ,285000.000000 ,0.710000 ,0.040000 ,0.030000 ,0.030000 ,0.162900 ,0.095800 ,0.006400 ,0.479200 ,0.035100 ,0.079900 ,0.095800 ,0.022400 
1280.000000 ,332.000000 ,0.083000 ,42086.000000 ,30257.000000 ,220000.000000 ,0.950000 ,0.010000 ,0.010000 ,0.000000 ,0.157800 ,0.095300 ,0.009400 ,0.303900 ,0.028900 ,0.083600 ,0.209400 ,0.034400 
1799.000000 ,374.000000 ,0.108000 ,34430.000000 ,28707.000000 ,204000.000000 ,0.950000 ,0.010000 ,0.010000 ,0.020000 ,0.142900 ,0.095100 ,0.010000 ,0.345700 ,0.057300 ,0.045600 ,0.209600 ,0.025600 
568.000000 ,1589.000000 ,0.153000 ,26609.000000 ,27287.000000 ,155000.000000 ,0.960000 ,0.010000 ,0.010000 ,0.010000 ,0.116200 ,0.081000 ,0.007000 ,0.380300 ,0.026400 ,0.103900 ,0.250000 ,0.014100 
820.000000 ,586.000000 ,0.102000 ,21469.000000 ,27786.000000 ,165750.000000 ,0.640000 ,0.010000 ,0.000000 ,0.010000 ,0.104900 ,0.046300 ,0.008500 ,0.218300 ,0.019500 ,0.092700 ,0.153700 ,0.025600 
